date,nikkei_close,sq_up_pressure,sq_down_risk,up_down_gap,p_up,signal,days_to_sq,days_after_sq,sector_abs_share,zscore_window,basis_included
2024-08-20,38062.921875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,518,,0.2337834128630528,252,False
2024-08-21,37951.80078125,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,517,,0.6733919337691663,252,False
2024-08-22,38211.01171875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,516,,0.336323521371045,252,False
2024-08-23,38364.26953125,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,515,,0.4920402503043922,252,False
2024-08-26,38110.21875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,514,,0.4678782630941955,252,False
2024-08-27,38288.62109375,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,513,,0.6467123315848562,252,False
2024-08-28,38371.76171875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,512,,0.573781653442271,252,False
2024-08-29,38362.53125,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,511,,0.5954531439313682,252,False
2024-08-30,38647.75,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,510,,0.6478304473819695,252,False
2024-09-02,38700.87109375,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,509,,0.6773127846511948,252,False
2024-09-03,38686.30859375,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,508,,0.7441848503941058,252,False
2024-09-04,37047.609375,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,507,,0.611334770515637,252,False
2024-09-05,36657.08984375,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,506,,0.3527933510093433,252,False
2024-09-06,36391.46875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,505,,0.5581617590643552,252,False
2024-09-09,36215.75,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,504,,0.7258568705280541,252,False
2024-09-10,36159.16015625,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,503,,0.5086823881008539,252,False
2024-09-11,35619.76953125,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,502,,0.2719067153401018,252,False
2024-09-12,36833.26953125,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,501,,0.4358123690046454,252,False
2024-09-13,36581.76171875,0.0,0.0,0.0,0.4875026035157896,NEUTRAL,500,,0.389986540365011,252,False
2024-09-17,36203.21875,-0.4905299290253861,-1.3620277549589104,0.8714978259335242,0.6030925652237477,UP_BIAS,498,,0.7789466557207783,252,False
2024-09-18,36380.171875,0.9469183292108648,0.3795468550894713,0.5673714741213935,0.6243785836030812,UP_BIAS,497,,0.3908525533688808,252,False
2024-09-19,37155.328125,-0.1193426148602552,-1.66316899047773,1.5438263756174748,0.7169979055932009,UP_BIAS,496,,0.3881266779745321,252,False
2024-09-20,37723.91015625,0.9085164456192908,-0.0115372616301254,0.9200537072494164,0.6747478194899629,UP_BIAS,495,,0.3975415505809652,252,False
2024-09-24,37940.58984375,0.0412599280161972,-1.1220779282204276,1.163337856236625,0.6713774328850431,UP_BIAS,493,,0.5472142810538256,252,False
2024-09-25,37870.26171875,0.6457851861232892,-0.4004167877088123,1.0462019738321016,0.6811774833882231,UP_BIAS,492,,0.2540205096880791,252,False
2024-09-26,38925.62890625,0.7220939554609938,-0.5692901523436081,1.291384107804602,0.7178493259431511,UP_BIAS,491,,0.6500244760640401,252,False
2024-09-27,39829.55859375,1.0047036832739211,-0.2549945762152622,1.2596982594891832,0.7250685892866156,UP_BIAS,490,,0.5364417543672316,252,False
2024-09-30,37919.55078125,-0.332671595249665,-0.6229144742824065,0.2902428790327415,0.5180230760442976,NEUTRAL,489,,0.5607479899853821,252,False
2024-10-01,38651.96875,0.0478176811665809,-0.5283023688794753,0.5761200500460564,0.582742426606177,UP_WATCH,488,,0.439431255226933,252,False
2024-10-02,37808.76171875,0.272805540722531,0.2862176903776995,-0.0134121496551684,0.4989608042135076,NEUTRAL,487,,0.444968628757083,252,False
2024-10-03,38552.05859375,0.2501991993558854,0.2609062026692287,-0.0107070033133432,0.4982700788321046,NEUTRAL,486,,0.4982552927384318,252,False
2024-10-04,38635.62109375,-0.0828385030670064,0.3432650054919597,-0.4261035085589661,0.4149510442468228,DOWN_WATCH,485,,0.4030532349803498,252,False
2024-10-07,39332.73828125,0.142187277389606,-0.4197378528253987,0.5619251302150048,0.5850862949498564,UP_WATCH,484,,0.4423955404210198,252,False
