date,ticker,name,close,prev_close,adj_factor,volume,adjusted_price,contribution_raw,abs_contribution_raw,momentum,index_weight,weighted_momentum,contribution_rank
2026-05-13,285A,キオクシア,50500.0,46100.0,0.82,29747400,41410.0,3608.0,3608.0,,0.08461917285320485,0.0,1
2026-05-13,6367,ダイキン工業,25780.0,24110.0,1.0,2850900,25780.0,1670.0,1670.0,,0.05268008394483508,0.0,2
2026-05-13,8035,東京エレクトロン,51340.0,52160.0,1.4,2301000,71876.0,-1148.0,1148.0,,0.1468748531271903,0.0,3
2026-05-13,6920,レーザーテック,42490.0,43490.0,0.9,2977300,38241.0,-900.0,900.0,,0.0781434868166966,0.0,4
2026-05-13,6857,アドバンテスト,28290.0,28705.0,2.1,5799400,59409.0,-871.5,871.5,,0.12139918956860773,0.0,5
2026-05-13,9983,ファーストリテイリング,72500.0,72220.0,2.7,898200,195750.0,756.0,756.0,,0.40000490427468843,0.0,6
2026-05-13,6098,リクルート,7800.0,7573.0,1.0,4579200,7800.0,227.0,227.0,,0.01593889273738222,0.0,7
2026-05-13,5803,フジクラ,7855.0,7624.0,0.7,62691200,5498.5,161.7,161.7,,0.011235897655961044,0.0,8
2026-05-13,4063,信越化学,7417.0,7520.0,1.0,6777500,7417.0,-103.0,103.0,,0.015156252235021017,0.0,9
2026-05-13,7203,トヨタ自動車,2939.5,2843.0,1.0,29534100,2939.5,96.5,96.5,,0.006006714769427569,0.0,10
2026-05-13,9984,ソフトバンクG,6012.0,5987.0,3.0,46400500,18036.0,75.0,75.0,,0.03685562428351612,0.0,11
2026-05-13,6762,TDK,2916.5,2961.0,1.0,9120600,2916.5,-44.5,44.5,,0.00595971547033016,0.0,12
2026-05-13,4543,テルモ,1950.0,1921.5,1.0,4704000,1950.0,28.5,28.5,,0.003984723184345555,0.0,13
2026-05-13,4519,中外製薬,7805.0,7794.0,1.0,2385200,7805.0,11.0,11.0,,0.01594910997631644,0.0,14
2026-05-13,9433,KDDI,2540.5,2529.5,1.0,14754600,2540.5,11.0,11.0,,0.005191379102476863,0.0,15
2026-05-14,9983,ファーストリテイリング,71330.0,72500.0,2.7,1190100,192591.0,-3159.0,3159.0,,0.40006880009273055,0.0,1
2026-05-14,6920,レーザーテック,40560.0,42490.0,0.9,3049700,36504.0,-1737.0,1737.0,,0.07582966742259523,0.0,2
2026-05-14,285A,キオクシア,48460.0,50500.0,0.82,47858500,39737.2,-1672.8,1672.8,,0.0825459856537681,0.0,3
2026-05-14,5803,フジクラ,6355.0,7855.0,0.7,57118100,4448.5,-1050.0,1050.0,,0.009240857865697316,0.0,4
2026-05-14,6367,ダイキン工業,25025.0,25780.0,1.0,1355600,25025.0,-755.0,755.0,,0.051984369582797646,0.0,5
2026-05-14,9984,ソフトバンクG,5770.0,6012.0,3.0,69800200,17310.0,-726.0,726.0,,0.035958019479649446,0.0,6
2026-05-14,6857,アドバンテスト,28615.0,28290.0,2.1,9547900,60091.5,682.5,682.5,,0.12482792186951788,0.0,7
2026-05-14,4519,中外製薬,8096.0,7805.0,1.0,2811500,8096.0,291.0,291.0,,0.016817800445247943,0.0,8
2026-05-14,8035,東京エレクトロン,51200.0,51340.0,1.4,2051400,71680.0,-196.0,196.0,,0.14890068378401342,0.0,9
2026-05-14,6762,TDK,3072.0,2916.5,1.0,13646200,3072.0,155.5,155.5,,0.006381457876457717,0.0,10
2026-05-14,9433,KDDI,2645.5,2540.5,1.0,11355800,2645.5,105.0,105.0,,0.0054954904987528945,0.0,11
2026-05-14,7203,トヨタ自動車,3008.0,2939.5,1.0,31564100,3008.0,68.5,68.5,,0.006248510837364848,0.0,12
2026-05-14,4063,信越化学,7476.0,7417.0,1.0,6194100,7476.0,59.0,59.0,,0.015529876004035773,0.0,13
2026-05-14,4543,テルモ,1930.0,1950.0,1.0,5663500,1930.0,-20.0,20.0,,0.004009184147644334,0.0,14
2026-05-14,6098,リクルート,7780.0,7800.0,1.0,7107100,7780.0,-20.0,20.0,,0.0161613744397269,0.0,15
2026-05-15,6857,アドバンテスト,26360.0,28615.0,2.1,9938400,55356.0,-4735.5,4735.5,,0.11766573925930272,0.0,1
2026-05-15,285A,キオクシア,44450.0,48460.0,0.82,37961800,36449.0,-3288.2,3288.2,,0.07747666974243668,0.0,2
2026-05-15,6920,レーザーテック,38410.0,40560.0,0.9,3328000,34569.0,-1935.0,1935.0,,0.07348050690900419,0.0,3
2026-05-15,8035,東京エレクトロン,50290.0,51200.0,1.4,2986000,70406.0,-1274.0,1274.0,,0.1496562981120469,0.0,4
2026-05-15,9983,ファーストリテイリング,71630.0,71330.0,2.7,942600,193401.0,810.0,810.0,,0.41109674901525406,0.0,5
2026-05-15,5803,フジクラ,5819.0,6355.0,0.7,128904500,4073.2999999999997,-375.2,375.2,,0.008658281951819455,0.0,6
2026-05-15,4063,信越化学,7105.0,7476.0,1.0,7528300,7105.0,-371.0,371.0,,0.015102519644435035,0.0,7
2026-05-15,6367,ダイキン工業,25370.0,25025.0,1.0,1190800,25370.0,345.0,345.0,,0.053926942066054445,0.0,8
2026-05-15,4519,中外製薬,7938.0,8096.0,1.0,2260800,7938.0,-158.0,158.0,,0.016873159878610176,0.0,9
2026-05-15,6762,TDK,2993.0,3072.0,1.0,13723700,2993.0,-79.0,79.0,,0.006361976255565667,0.0,10
2026-05-15,9433,KDDI,2724.0,2645.5,1.0,14730700,2724.0,78.5,78.5,,0.005790184871420272,0.0,11
2026-05-15,7203,トヨタ自動車,3085.0,3008.0,1.0,43178700,3085.0,77.0,77.0,,0.006557533160180448,0.0,12
2026-05-15,9984,ソフトバンクG,5745.0,5770.0,3.0,69924000,17235.0,-75.0,75.0,,0.036635035337345224,0.0,13
2026-05-15,6098,リクルート,7825.0,7780.0,1.0,8557900,7825.0,45.0,45.0,,0.016632964984898545,0.0,14
2026-05-15,4543,テルモ,1922.0,1930.0,1.0,5317100,1922.0,-8.0,8.0,,0.004085438811626198,0.0,15
2026-05-18,285A,キオクシア,51450.0,44450.0,0.82,822500,42189.0,5740.0,5740.0,,0.08983500969704507,0.0,1
2026-05-18,9983,ファーストリテイリング,70190.0,71630.0,2.7,979400,189513.0,-3888.0000000000005,3888.0000000000005,,0.4035388891112873,0.0,2
2026-05-18,8035,東京エレクトロン,49260.0,50290.0,1.4,2434000,68964.0,-1442.0,1442.0,,0.14684826871333798,0.0,3
2026-05-18,6367,ダイキン工業,24020.0,25370.0,1.0,1175000,24020.0,-1350.0,1350.0,,0.05114690874216081,0.0,4
2026-05-18,6098,リクルート,9122.0,7825.0,1.0,21985000,9122.0,1297.0,1297.0,,0.019423900980266067,0.0,5
2026-05-18,9984,ソフトバンクG,5593.0,5745.0,3.0,48158000,16779.0,-456.0,456.0,,0.03572830898354356,0.0,6
2026-05-18,6857,アドバンテスト,26150.0,26360.0,2.1,8750700,54915.0,-441.0,441.0,,0.11693307633537722,0.0,7
2026-05-18,4543,テルモ,2279.0,1922.0,1.0,16185000,2279.0,357.0,357.0,,0.004852781224953559,0.0,8
2026-05-18,6920,レーザーテック,38190.0,38410.0,0.9,3128200,34371.0,-198.0,198.0,,0.07318777686831013,0.0,9
2026-05-18,7203,トヨタ自動車,2954.5,3085.0,1.0,30946400,2954.5,-130.5,130.5,,0.006291154949155458,0.0,10
2026-05-18,5803,フジクラ,5653.0,5819.0,0.7,86555100,3957.1,-116.19999999999999,116.19999999999999,,0.008426037992656309,0.0,11
2026-05-18,4063,信越化学,7013.0,7105.0,1.0,5254300,7013.0,-92.0,92.0,,0.0149331087014477,0.0,12
2026-05-18,4519,中外製薬,7885.0,7938.0,1.0,1512400,7885.0,-53.0,53.0,,0.016789899060447044,0.0,13
2026-05-18,9433,KDDI,2688.5,2724.0,1.0,7427100,2688.5,-35.5,35.5,,0.00572474871579098,0.0,14
2026-05-18,6762,TDK,2977.5,2993.0,1.0,8178800,2977.5,-15.5,15.5,,0.006340129924220808,0.0,15
2026-05-19,9983,ファーストリテイリング,73650.0,70190.0,2.7,1179700,198855.0,9342.0,9342.0,,0.422945104233088,0.0,1
2026-05-19,8035,東京エレクトロン,47160.0,49260.0,1.4,2645700,66024.0,-2940.0,2940.0,,0.14042657997981145,0.0,2
2026-05-19,6920,レーザーテック,36060.0,38190.0,0.9,2762200,32454.0,-1917.0,1917.0,,0.06902647865419848,0.0,3
2026-05-19,6857,アドバンテスト,25290.0,26150.0,2.1,9174200,53109.0,-1806.0,1806.0,,0.1129576401936842,0.0,4
2026-05-19,285A,キオクシア,49770.0,51450.0,0.82,50094200,40811.399999999994,-1377.6,1377.6,,0.08680184972416206,0.0,5
2026-05-19,6098,リクルート,9846.0,9122.0,1.0,16251100,9846.0,724.0,724.0,,0.02094147743973742,0.0,6
2026-05-19,9984,ソフトバンクG,5361.0,5593.0,3.0,53762700,16083.0,-696.0,696.0,,0.0342069654340135,0.0,7
2026-05-19,5803,フジクラ,4695.0,5653.0,0.7,124339100,3286.5,-670.5999999999999,670.5999999999999,,0.0069900635390714025,0.0,8
2026-05-19,6367,ダイキン工業,23730.0,24020.0,1.0,932000,23730.0,-290.0,290.0,,0.050471385298087444,0.0,9
2026-05-19,9433,KDDI,2764.0,2688.5,1.0,9363400,2764.0,75.5,75.5,,0.005878757225617939,0.0,10
2026-05-19,4519,中外製薬,7936.0,7885.0,1.0,2367900,7936.0,51.0,51.0,,0.01687909455228074,0.0,11
2026-05-19,4063,信越化学,7032.0,7013.0,1.0,5504100,7032.0,19.0,19.0,,0.0149563751123536,0.0,12
2026-05-19,4543,テルモ,2294.0,2279.0,1.0,12683700,2294.0,15.0,15.0,,0.004879113269018651,0.0,13
2026-05-19,6762,TDK,2985.5,2977.5,1.0,10503400,2985.5,8.0,8.0,,0.006349866026440795,0.0,14
2026-05-19,7203,トヨタ自動車,2957.0,2954.5,1.0,23002200,2957.0,2.5,2.5,,0.006289249318434243,0.0,15
2026-05-20,9983,ファーストリテイリング,74740.0,73650.0,2.7,1182500,201798.0,2943.0,2943.0,0.030896551724137966,0.4280584260996894,0.013225529302942143,1
2026-05-20,8035,東京エレクトロン,46100.0,47160.0,1.4,3042100,64539.99999999999,-1484.0,1484.0,-0.10206466692637317,0.13690368992989996,-0.013973029513686707,2
2026-05-20,285A,キオクシア,51290.0,49770.0,0.82,31479300,42057.799999999996,1246.3999999999999,1246.3999999999999,0.015643564356435657,0.08921394500052288,0.0013956240901071908,3
2026-05-20,9984,ソフトバンクG,5039.0,5361.0,3.0,71784000,15117.0,-966.0,966.0,-0.16184298070525616,0.03206651813867831,-0.00518974087640286,4
2026-05-20,6857,アドバンテスト,25625.0,25290.0,2.1,8881700,53812.5,703.5,703.5,-0.09420289855072461,0.11414827725988134,-0.010753098582452587,5
2026-05-20,6920,レーザーテック,35650.0,36060.0,0.9,3099400,32085.0,-369.0,369.0,-0.16097905389503409,0.06805941883174528,-0.010956140852180222,6
2026-05-20,5803,フジクラ,4295.0,4695.0,0.7,116069900,3006.5,-280.0,280.0,-0.4532145130490134,0.006377454970161826,-0.0028903551487939024,7
2026-05-20,6098,リクルート,9653.0,9846.0,1.0,8907400,9653.0,-193.0,193.0,0.23756410256410265,0.020476159263918877,0.004864400399492525,8
2026-05-20,4063,信越化学,6845.0,7032.0,1.0,5117500,6845.0,-187.0,187.0,-0.07712012943238511,0.01451976692857399,-0.001119766304859691,9
2026-05-20,6367,ダイキン工業,23605.0,23730.0,1.0,897300,23605.0,-125.0,125.0,-0.08436772692009309,0.050071453374578384,-0.004224414704798602,10
2026-05-20,4543,テルモ,2342.5,2294.0,1.0,10286300,2342.5,48.5,48.5,0.20128205128205123,0.004968963335308192,0.0010001631328761358,11
2026-05-20,6762,TDK,2943.0,2985.5,1.0,11053200,2943.0,-42.5,42.5,0.009086233499057128,0.006242757351467239,5.672315097338678e-05,12
2026-05-20,4519,中外製薬,7899.0,7936.0,1.0,2507400,7899.0,-37.0,37.0,0.012043561819346627,0.01675553527666997,0.00020179632492081797,13
2026-05-20,9433,KDDI,2780.0,2764.0,1.0,10500500,2780.0,16.0,16.0,0.09427278094863212,0.005896998109778772,0.0005559264110576718,14
2026-05-20,7203,トヨタ自動車,2942.0,2957.0,1.0,26030500,2942.0,-15.0,15.0,0.0008504847763224355,0.006240636129125592,5.307566022389088e-06,15
2026-05-21,9983,ファーストリテイリング,73300.0,74740.0,2.7,865000,197910.0,-3888.0000000000005,3888.0000000000005,0.027618112995934307,0.41026459589217157,0.01133073396758132,1
2026-05-21,8035,東京エレクトロン,48800.0,46100.0,1.4,2745800,68320.0,3779.9999999999995,3779.9999999999995,-0.046875,0.14162638164495558,-0.0066387366396072935,2
2026-05-21,285A,キオクシア,55340.0,51290.0,0.82,55514600,45378.799999999996,3321.0,3321.0,0.14197276104003298,0.09406960256718545,0.013355321206401894,3
2026-05-21,9984,ソフトバンクG,6039.0,5039.0,3.0,73094900,18117.0,3000.0,3000.0,0.046620450606585706,0.037556281561206974,0.0017508907694912751,4
2026-05-21,6857,アドバンテスト,26745.0,25625.0,2.1,9851300,56164.5,2352.0,2352.0,-0.06535034073038615,0.11642820421396528,-0.007608622816009611,5
2026-05-21,6920,レーザーテック,38060.0,35650.0,0.9,3426700,34254.0,2169.0,2169.0,-0.061637080867850136,0.0710080514763804,-0.004376729011118124,6
2026-05-21,6762,TDK,3141.0,2943.0,1.0,11989200,3141.0,198.0,198.0,0.0224609375,0.006511248020298676,0.00014624873483092728,7
2026-05-21,5803,フジクラ,4501.0,4295.0,0.7,98432700,3150.7,144.2,144.2,-0.2917387883556255,0.00653135598139288,-0.001905449880330826,8
2026-05-21,6098,リクルート,9564.0,9653.0,1.0,4791900,9564.0,-89.0,89.0,0.22930591259640098,0.019826035041749932,0.004546227058416693,9
2026-05-21,6367,ダイキン工業,23675.0,23605.0,1.0,821900,23675.0,70.0,70.0,-0.053946053946053896,0.04907793596961832,-0.0026475609813780086,10
2026-05-21,4519,中外製薬,7836.0,7899.0,1.0,2152600,7836.0,-63.0,63.0,-0.032114624505928835,0.016243915787029745,-0.0005216672560063897,11
2026-05-21,9433,KDDI,2718.0,2780.0,1.0,9759000,2718.0,-62.0,62.0,0.027405027405027482,0.005634375077736963,0.00015441020341558533,12
2026-05-21,7203,トヨタ自動車,2978.0,2942.0,1.0,21798100,2978.0,36.0,36.0,-0.009973404255319118,0.006173351354488843,-6.156932866843907e-05,13
2026-05-21,4063,信越化学,6857.0,6845.0,1.0,6503700,6857.0,12.0,12.0,-0.08279828785446763,0.014214462806490932,-0.00117693318314846,14
2026-05-21,4543,テルモ,2332.0,2342.5,1.0,7651100,2332.0,-10.5,10.5,0.2082901554404144,0.004834202605328402,0.0010069168120943092,15
2026-05-22,9983,ファーストリテイリング,75510.0,73300.0,2.7,1113300,203877.0,5967.0,5967.0,0.05416724835962583,0.4114550380674164,0.022287387235817045,1
